eng,spa,source,otp
drop; fall; SBJ {dropper} makes OBJ {dropped; fallen} start falling,,INCOHATIVE OF fall,taki
catch; fall on; land; collapse; stop; SBJ {catcher; landing} makes OBJ {caught} stop falling,,CESSATIVE OF fall,tanu
be precarious; OBJ is precariously placed,,POSSIBILITY OF fall,tapowi
"fly; soar; OBJ {projectile} moves through the air, not necessarily of its own accord",,yor <fò> [fò],fo
throw; shoot; take off; jump; SBJ sends OBJ into the air,,INCOHATIVE OF fly,foki
land; down; ground; take down; alight; SBJ brings OBJ down from the air,,CESSATIVE OF fly,fonu
roll; tumble; be rolling; OBJ {wheel; roller} is rolling,,spa <rueda> [ˈrweða],lota
start rolling; roll from; SBJ {roller} makes OBJ start rolling,,INCOHATIVE OF roll,lotaki
stop rolling; roll into; SBJ makes OBJ stop rolling,,CESSATIVE OF roll,lotanu
be on; rest on; lean on; support; hold; carry; OBJ {at rest; on top} rests on IND {table; ground; floor; support; base},estar en; *descansar; sostener; OBJ {descansando; arriba} esta en IND {mesa; piso; suelo; base},cmn <依靠> [i˥kʰɑʊ̯˥˩],ikau
put on; get on; pick up; SBJ rests OBJ on IND,,INCOHATIVE OF be on,ikauki
take off; get off; put down; SBJ takes OBJ off of IND,,CESSATIVE OF be on,ikaunu
be inside; be in; contain; be inner; be central; be in the middle; OBJ {indoors; room; content; center; middle; heart; bowels} is inside IND {container} {AMOUNT:innerness},,cmn <内> [neɪ̯˥˩],ne
be outside; be outer; be peripheral; OBJ {outdoors; edge; fringe} is outside of IND,,ANTONYM OF be inside,ko
enter; insert; put in; SBJ moves OBJ into IND,,INCOHATIVE OF be inside,neki
exit; remove; release; escape; take out; extract; emerge; SBJ moves OBJ out of IND {LOCATION:hole},,CESSATIVE OF be inside,koki
be quiet; dim; soft; faint; weak; OBJ is quiet {TIME:nighttime; night},,ono [ʃː],sica
be loud; be bright; be strong; OBJ is bright {AMOUNT:volume; amplitude; brightness|TIME:daytime; day},,ANTONYM OF be quiet,fuha
dampen; quiet; dim; soften; weaken; decrescendo; SBJ {damper} dampens OBJ {TIME:evening; dusk},,INCOHATIVE OF be quiet,sicaki
amplify; louden; brighten; strengthen; crescendo; SBJ {amplifier} amplifies OBJ {TIME:morning; dawn},,CESSATIVE OF be quiet,fuhaki
eat; drink; take; SBJ {eater} eats OBJ {food; drink; meal} {TIME:meal; mealtime|LOCATION:dining room; dining hall|INSTRUMENT:eating utensil; silverware},comer; bebir; tomar; SBJ come OBJ {comida; bebida} {LOCATION:comedor|INSTRUMENT:utensilios para comer},ono [njam njam],nyama
be edible; be potable; OBJ is edible to SBJ,,POSSIBILITY OF eat,nyamapowi
be part; be in; compose; contain; comprise; include; OBJ {piece; component; element; detail} is part of IND {group; whole; set; party; association; organisation; institution} {AMOUNT:portion; fraction},,epo <parto> [ˈparto],palto
join; incorporate; add; append; SBJ {joiner} makes OBJ join IND,,INCOHATIVE OF be part,paltoki
leave; separate; remove; SBJ {remover} makes OBJ leave IND,,CESSATIVE OF be part,paltonu
beI inclusive; beI open; be eligible; IND is open to OBJ joining,,POSSIBILITY OF be part,paltopowi
beI exclusive; beI closed; be ineligible; IND excludes OBJ from joining,,NEGATIVE OF be inclusive,paltopowinyo
surround; cover; OBJ {surroundings; cover; environment; context} covers most of IND {surrounded; covered} {AMOUNT:coverage},,cmn <包围> [pɑʊ̯˥weɪ̯˧˥],pawe
leave bare; expose; leave open; OBJ covers little of IND {bare; open; exposed},,ANTONYM OF surround,mayo
surround; cover; SBJ {coverer} surrounds OBJ with IND,,INCOHATIVE OF surround,paweki
uncover; bare; expose; open; SBJ {uncoverer} makes OBJ stop surrounding IND,,CESSATIVE OF surround,mayoki
be typical; exemplify; qualify; represent; the type of OBJ {instance; example} is IND {category; class; kind; type},,epo <tipa> [ˈtipa],tipa
categorise; classify; SBJ places OBJ as an instance of IND,,INCOHATIVE OF be typical,tipaki
disqualify; declassify; SBJ makes OBJ not be an instance of IND,,CESSATIVE OF be typical,tipanu
beI in *control; beI in charge; beI powerful; depend; IND {oppressor; controller; leader; official} controls OBJ {oppressed; dependent} {INSTRUMENT:controls; controller; harness},,cmn <控制> [kʰʊŋ˥˩ʈ͡ʂɨ˥˩],kunci
be free; be independent; beI weak; IND cannot tell OBJ what to do,,ANTONYM OF be in control,nikhu
take control; capture; give control; put in charge; SBJ {capturer} puts IND in control of OBJ {captured},,INCOHATIVE OF be in control,kunciki
lose control; release; free; SBJ {releaser} releases OBJ {freed} from IND's control,,CESSATIVE OF be in control,nikhuki
obey; command; follow; lead; SBJ {obedient; follower} does OBJ {order; command} because IND {leader; commander; manager; authority} said to do it,,eng <obey> [oʊ̯ˈbeɪ̯],ope
care; matter; value; beI important; hold dear; OBJ {caring; passionate} cares about IND {value; main; primary},,cmn <在乎> [t͡saɪ̯˥˩xu],sayhu
beI unimportant; be indifferent; ignore; OBJ does not care about IND {fringe; secondary},,ANTONYM OF care,fawci
make important; inflate; SBJ makes OBJ care about IND,,INCOHATIVE OF care,sayhuki
make unimportant; devalue; SBJ makes OBJ stop caring about IND,,CESSATIVE OF care,fawciki
be simple; be basic; be elementary; OBJ is simple,,mar <सोपे> [sope],sope
be complex; be complicated; be wicked; OBJ is complex,,ANTONYM OF be simple,femo
simplify; SBJ {simplifier} simplifies OBJ,,INCOHATIVE OF be simple,sopeki
complicate; SBJ {complicator} complicates OBJ,,CESSATIVE OF be simple,femoki
govern; administer; have citizenship; IND {government {GENITIVE:public}} serves as the governing body to OBJ {citizen; governed; people},,cmn <统治> [tʰʊŋ˧˩˧ʈ͡ʂɨ˥˩],tunci
take over; elect; come to power; conquer; annex; SBJ makes IND become the government of OBJ,,INCOHATIVE OF govern,tunciki
secede; collapse; impeach; SBJ makes IND stop governing OBJ,,CESSATIVE OF govern,tuncinu
be clean; be sanitary; OBJ is clean,,epo <pura> [ˈpura],pula
be unclean; be dirty; be filthy; be grimy; be gross; be unsanitary; OBJ {filth} is unclean,,ANTONYM OF be clean,mita
clean; sanitise; SBJ {cleaner} cleans OBJ {INSTRUMENT:cleaning utensil},,INCOHATIVE OF be clean,pulaki
dirty; grimify; desanitise; SBJ {dirtier} makes OBJ unclean,,CESSATIVE OF be clean,mitaki
be neat; be orderly; be organised; be clean; be tidy; OBJ is neat {AMOUNT:order; neatness; organisation; cleanliness},,yor <ọfọ> [ɔfɔ],ofo
be chaotic; be disorganised; be messy; be in disarray; be askance; OBJ is chaotic {AMOUNT:entropy; chaos},,ANTONYM OF be neat,ese
order; organise; clean; tidy; sort; put in order; structure; finalise; SBJ {organiser; cleaner; tidier} puts OBJ in order {INSTRUMENT:organisation tool},,INCOHATIVE OF be neat,ofoki
disorganise; mess up; disrupt; trash; throw into chaos; SBJ {disorganiser; trasher} puts OBJ into chaos,,CESSATIVE OF be neat,eseki
stand structurally; OBJ {*structure; building} stands structurally on IND {foundation; site},,yor <ọ̀na> [ɔ̀na],ona
construct; build; assemble; erect; SBJ {constructor; builder} constructs OBJ {INSTRUMENT:construction tool},,INCOHATIVE OF stand structurally,onaki
deconstruct; disassemble; demolish; take apart; SBJ {deconstructor} deconstructs OBJ,,CESSATIVE OF stand structurally,onanu
sell; buy; vend; purchase; OBJ {buyer; customer} legally obtains IND {good; service} from SBJ {vendor; salesperson {GENITIVE:private}} {TIME:financial transaction|LOCATION:store; shop|INSTRUMENT:money; currency},,cmn <卖> [maɪ̯˥˩],mai
plan; expect; OBJ {expecting} expects IND {plan; expectation} to happen {INSTRUMENT:planner; planning tool},,cmn <计划> [t͡ɕi˥˩xwa˥˩],cihwa
deduce; compute; *reason; be reasonable; be logical; figure; figure out; compute; think through; SBJ {reasonable} logically deduces OBJ {conclusion; computation},,yor <ìdí> [ìdí],iti
act crazy; be unreasonable; be illogical; jump to conclusion; guess; SBJ {unreasonable; crazy} comes to the conclusion OBJ without any logic,,OPPOSITE OF deduce,ulu
think of; come up with; invent; have an idea; SBJ {creative; clever; idea person} thinks of OBJ {idea; thought; invention} {CAUSE:inspiration},*idear; sugerir; proponer; SBJ {creativo} idea OBJ {idea; pienso; invención} {CAUSE:inspiración},spa <idea> [iˈðea],itea
ponder; think about; imagine; consider; SBJ {thinker; ponderer} is thinks about OBJ {train of thought} {INSTRUMENT:mind; imaaagination},,ben <চিন্তা> [t͡ɕin̪t̪a],cinta
"be fast; be quick; be frequent; hurry; OBJ progresses, oscillates, or decays quickly {AMOUNT:speed; angular velocity}",,yor <yára> [járā],yala
"be slow; be gradual; be periodic; OBJ progresses, oscillates, or decays slowly {AMOUNT:period; time constant}",,ANTONYM OF be fast,wata
be heavy; weigh; be massive; OBJ {weight; heavyweight} is heavy {AMOUNT:weight; mass},,hin <भारी> [b̤aːriː],pali
be light; OBJ {lightweight} is light,ser ligero; OBJ es ligero,ANTONYM OF be heavy,matu
weight; weigh; burden; SBJ weighs down OBJ,,INCOHATIVE OF be heavy,paliki
lighten; SBJ lightens OBJ,,CESSATIVE OF be heavy,matuki
be high-pitched; be shrill; OBJ {high note} is highly pitched {AMOUNT:pitch; frequency},ser agudo; OBJ es agudo,eng <high> [hɑɪ̯],hai
be low-pitched; be deep; be sonorous; OBJ {low note} is lowly pitched,,ANTONYM OF be high-pitched,cau
raise; pitch up; modulate; SBJ raises the pitch of OBJ,,INCOHATIVE OF be high-pitched,haiki
lower; deepen; SBJ lowers the pitch of OBJ,,CESSATIVE OF be high-pitched,cauki
be rhythmic; pulse; cycle; oscillate; flash; beat; OBJ {rhythm; routine} happens rhythmically {AMOUNT:frequency},,ono [dudum dudum],tutumu
beI easy; beI convenient; IND is easy to OBJ,,eng <easy> [ˈiːzi],isi
beI difficult; beI hard; beI inconvenient; IND is hard for OBJ,,ANTONYM OF be easy,ufu
facilitate; convenience; make easy; SBJ makes IND easier for OBJ,,INCOHATIVE OF be easy,isiki
restrict; resist; inconvenience; make difficult; SBJ makes IND harder for OBJ,,CESSATIVE OF be easy,ufuki
stand; be erect; OBJ {standing} is standing {METHOD:posture},,mar <उभे> [ub̤e],upe
stand up; erect; SBJ {stand} stands up OBJ,,INCOHATIVE OF stand,upeki
lie; be prone; OBJ {lying down} is prone,,OPPOSITE OF stand,imo
lie down; knock over; SBJ lays down OBJ,,INCOHATIVE OF lie,imoki
sit; be sitting; OBJ is sitting,,cmn <坐> [t͡swɔ˥˩],swo
sit down; sit up; sit; SBJ {sitter} sits down OBJ,,INCOHATIVE OF sit,swoki
take care; support; OBJ {caretaker; staff} takes care of IND {dependent; cared for},,cmn <照顾> [ʈ͡ʂɑʊ̯˥˩ku],cawku
entrust; take charge; SBJ {entruster} makes OBJ start taking care of IND,,INCOHATIVE OF take care,cawkuki
abandon; take away; SBJ makes OBJ {abandoner} stop taking care of IND,,CESSATIVE OF take care,cawkunu
deal; have deal; do business; OBJ {dealer; entrepreneur} has a deal with IND {business; beauracracy; business partner} {METHOD:agreement; deal},negociar; OBJ negocia con IND {negocio},hin <सौदा> [sɔːdaː],sota
strike deal; make deal; do business; negotiate; SBJ {negotiator} causes OBJ to come to a business agreement with IND,,INCOHATIVE OF deal,sotaki
break deal; violate agreement; cut ties; SBJ {deal breaker} causes business to cease between OBJ and IND {ex-business partner},,CESSATIVE OF deal,sotanu
be related; be *about; focus; OBJ is about IND {topic; subject},,pan <ਬਾਰੇ> [bɑɾe],pale
focus; SBJ makes OBJ about IND,,INCOHATIVE OF be related,cinciki
defocus; SBJ makes OBJ not be about IND,,CESSATIVE OF be related,cincinu
be full; OBJ is full of IND {filling},,pan <ਪੂਰੀ> [puɾi],puli
be empty; be blank; OBJ {void; vacuum} is empty of IND,,ANTONYM OF be full,mitu
fill; SBJ fills OBJ with IND,,INCOHATIVE OF be full,puliki
empty; clear; SBJ empties OBJ of IND,,CESSATIVE OF be full,mituki
be coloured; have *colour; IND {colour} is the colour of OBJ,,ben <রঙ> [rɔŋɔ],lono
colour; shade; SBJ {colourer} colours OBJ IND,,INCOHATIVE OF be coloured,lonoki
be white; be light; be fair; OBJ reflects a lot of light {AMOUNT:whiteness; value},,ibo <ocha> [ot͡ʃa],oca
be black; be dark; be tan; OBJ reflects little light,,ANTONYM OF be white,eha
whiten; lighten; wash out; dodge; SBJ lightens OBJ,,INCOHATIVE OF be white,ocaki
blacken; darken; shade; burn; tan; SBJ darkens OBJ,,CESSATIVE OF be white,ehaki
be red; OBJ reflects short wavelength light {AMOUNT:redness},,epo <ruĝi> [ˈrud͡ʒi],luci
be green; OBJ reflects medium and long wavelength light,,ANTONYM OF be red,tihu
redden; colour red; SBJ colours OBJ red,,INCOHATIVE OF be red,luciki
green; colour green; SBJ colours OBJ green,,CESSATIVE OF be red,tihuki
be yellow; OBJ reflects medium wavelength light {AMOUNT:yellowness},,hin <पीला> [piːlaː],pila
be purple; be violet; OBJ reflects short and long wavelength light,,ANTONYM OF be yellow,muta
yellow; colour yellow; SBJ colours OBJ yellow,,INCOHATIVE OF be yellow,pilaki
colour purple; colour violet; SBJ colours OBJ purple,,CESSATIVE OF be yellow,mutaki
be blue; be cool; OBJ reflects short wavelength light {AMOUNT:blueness},,hin <नीला> [niːlaː],nila
be orange; be warm; OBJ reflects long and medium wavelength light,,ANTONYM OF be blue,kuta
colour blue; SBJ colours OBJ blue,,INCOHATIVE OF be blue,nilaki
colour orange; SBJ colours OBJ orange,,CESSATIVE OF be blue,kutaki
be opaque; OBJ absorbs light that it does not reflect {AMOUNT:opacity},,epo <opaka> [oˈpaka],opaka
be transparent; be see-through; OBJ {window} lets unreflected light pass through it,,ANTONYM OF be opaque,emana
opaquify; SBJ make OBJ become opaque,,INCOHATIVE OF be opaque,opakaki
transparify; SBJ makes OBJ become transparent,,CESSATIVE OF be opaque,emanaki
be shiny; shine; be reflective; be smooth; be metallic; OBJ {mirror} reflects light specularly {AMOUNT:shininess},,eng <shiny> [ˈʃɑɪ̯ni],cayni
be matte; be dull; be rough; OBJ reflects light diffusely,,ANTONYM OF be shiny,hawku
shine; polish; SBJ makes OBJ become shiny,,INCOHATIVE OF be shiny,cayniki
matte; SBJ makes OBJ become matte,,CESSATIVE OF be shiny,hawkuki
be sweet; be sweetened; OBJ {candy} is sweet {AMOUNT:sweetness},,swa <-tamu> [tamu],tamu
be unsweet; be unsweetened; OBJ is unsweet,,ANTONYM OF be sweet,lapi
sweeten; SBJ makes OBJ become sweet,,INCOHATIVE OF be sweet,tamuki
unsweeten; SBJ makes OBJ become less sweet,,CESSATIVE OF be sweet,lapiki
be bitter; OBJ is bitter {AMOUNT:bitterness},,cmn <苦> [kʰu˧˩˧],ku
be unbitter; OBJ is not very bitter,,ANTONYM OF be bitter,ni
bitter; SBJ makes OBJ become bitter,,INCOHATIVE OF be bitter,kuki
debitter; SBJ makes OBJ become less bitter,,CESSATIVE OF be bitter,niki
be sour; OBJ is sour {AMOUNT:sourness},,ben <টক> [tɔkɔ],toko
be unsour; OBJ is not very sour,,ANTONYM OF be sour,lene
sour; SBJ makes OBJ become sour,,INCOHATIVE OF be sour,tokoki
desour; SBJ makes OBJ become less sour,,CESSATIVE OF be sour,leneki
be savoury; have umami; OBJ is savoury {AMOUNT:savouriness; umami},,msa <gurih> [ɡurih],kuli
be unsavoury; OBJ is not very savoury,,ANTONYM OF be savoury,nitu
make savoury; SBJ makes OBJ become savoury,,INCOHATIVE OF be savoury,kuliki
desavoury; SBJ makes OBJ become less savoury,,CESSATIVE OF be savoury,nituki
be salty; OBJ is salty {AMOUNT:saltiness; salt},,pan <ਲੂਣਾ> [luɳɑ],luna
be unsalty; OBJ is not salty,,ANTONYM OF be salty,tika
salt; SBJ makes OBJ become salty,,INCOHATIVE OF be salty,lunaki
desalt; purify; SBJ makes OBJ less salty,,CESSATIVE OF be salty,tikaki
be spicy; be hot; OBJ is spicy {AMOUNT:spiciness; spice; heat},,epo <spica> [ˈspit͡sa],ispisa
be mild; be cool; OBJ is not spicy,,ANTONYM OF be spicy,ufmufa
spice; SBJ makes OBJ become spicy,,INCOHATIVE OF be spicy,ispisaki
mild; cool; despice; SBJ makes OBJ become less spicy,,CESSATIVE OF be spicy,ufmufaki
be shaped; be shaped like; OBJ {sculpture} is shaped like IND {*shape},,spa <forma> [ˈfoɾma],folma
shape; form; sculpt; SBJ {shaper; sculptor} shapes OBJ into IND,,INCOHATIVE OF be shaped,folmaki
deform; SBJ makes OBJ {deformed} lose its shape,,CESSATIVE OF be shaped,folmanu
be circular; be round; OBJ {circle; ring} is circular,,epo <cirkla> [ˈt͡sirkla],sikla
circularise; round; circle; SBJ turns OBJ into a circle,,INCOHATIVE OF be circular,siklaki
be square; be rectangular; be right; OBJ {rectangle; square} is rectangular,,OPPOSITE OF be circular,funta
square; rectify; right; SBJ makes OBJ rectangular,,INCOHATIVE OF be square,funtaki
skew; make diagonal; SBJ makes OBJ stop being rectangular,,CESSATIVE OF be square,funtanu
be closed; be hollow; be looped; be complete; OBJ {shell; loop; circuit; circle; ring; closed path; closed surface} is closed on all sides,,ben <বন্ধ> [bɔn̪d̪̤ɔ],ponto
be open; be cupped; be U-shaped; be confined; OBJ {cup; bowl; corner; hole; bay; dip; U} is open on one side,,ANTONYM OF be closed,mekle
close; shut; loop; SBJ {closer} makes OBJ closed,,INCOHATIVE OF be closed,pontoki
open; dig; cup; divot; carve out; SBJ {opener} makes OBJ open,,CESSATIVE OF be closed,mekleki
be unlocked; OBJ is unlocked,,POSSIBILITY OF be open,meklepowi
be locked; OBJ is locked,,NEGATIVE OF be unlocked,meklepowinyo
unlock; open; SBJ unlocks OBJ,,INCOHATIVE OF be unlocked,meklepowiki
lock; close; SBJ locks OBJ,,CESSATIVE OF be unlocked,meklepowinu
be powder; be fine; be dust; OBJ is a powder,,nya <ufa> [ufa],ufa
be chunky; be coarse; be granulated; be piled; be in bits; OBJ is a loose aggregation of fragments of IND,,OPPOSITE OF be powder,isa
pulverise; powder; SBJ {pulveriser} turns OBJ into a powder,,INCOHATIVE OF be powder,ufaki
chunk; grind; pile; SBJ {chunker} turns OBJ into a pile of chunky bits,,INCOHATIVE OF be chunky,isaki
be straight; be linear; be flat; OBJ {line; plane; straightedge} is straight,ser *recto; ser derecho; ser lineal; OBJ {línea; plano} es recto,hin <सीधे> [siːd̤e],site
be wavy; be curly; be bent; be bumpy; OBJ {squiggle; wave; curl} is wavy,,ANTONYM OF be straight,fulo
straighten; flatten; splay; open; SBJ {straightener; flattener} straightens OBJ,,INCOHATIVE OF be straight,siteki
bend; curl; kink; SBJ {bender; curler} bends OBJ,,CESSATIVE OF be straight,fuloki
be smooth; be polished; be flat; OBJ is smooth,,spa <suave> [ˈswaβe],swape
be rough; be abrasive; be sharp; OBJ is rough,,ANTONYM OF be smooth,fyamo
smoothen; polish; SBJ smoothens OBJ,,INCOHATIVE OF be smooth,swapeki
roughen; rough up; scratch; SBJ roughens OBJ,,CESSATIVE OF be smooth,fyamoki
be damaged; be hurt; be wounded; be in tatters; OBJ is damaged,,fil <sira> [siɾa],sila
damage; hurt; harm; wear; SBJ {harmer} damages OBJ,,INCOHATIVE OF be damaged,silaki
repair; mend; fix; clean; SBJ {repairperson} repairs OBJ,,CESSATIVE OF be damaged,silanu
be susceptible; be vulnerable; be exposed; SBJ can harm OBJ,,POSSIBILITY OF damage,silakipowi
be invulnerable; be invincible; be durable; SBJ cannot harm OBJ,,NEGATIVE OF be susceptible,silakipowinyo
vulnerate; expose; lower defenses; SBJ makes OBJ vulnerable to IND,,INCOHATIVE OF be susceptible,silakipowiki
protect; defend; guard; SBJ {shield; protection; defense; guard} prevents IND from harming OBJ,,CESSATIVE OF be susceptible,silakipowinu
be in pieces; be *broken; be piecemeal; OBJ is in multiple pieces,,spa <roto> [ˈroto],loto
break; shatter; destroy; SBJ {breaker} breaks OBJ into multiple pieces,,INCOHATIVE OF be in pieces,lotoki
mend; fix; put back together; SBJ {fixer} puts OBJ back together,,CESSATIVE OF be in pieces,lotonu
be structurally weak; be crumbly; OBJ is easy to break,,POSSIBILITY OF break,lotokipowi
be structurally strong; be durable; OBJ is difficult to break {AMOUNT:structural integrity; strength; durability},,NEGATIVE OF be structurally weak,lotokipowinyo
weaken; compromise; sabotage; SBJ {weakener; saboteur} makes OBJ structurally weaker,,INCOHATIVE OF be structurally weak,lotokipowiki
strengthen; brace; glue; SBJ {strengthener; glue} makes OBJ structurally stronger,,CESSATIVE OF be structurally weak,lotokipowinu
be solid; be rigid; be firm; OBJ {rigid body} is solid {AMOUNT:solidity; rigidity},,cmn <固体> [ku˥˩tʰi˧˩˧],kuti
be fluid; be amorphous; OBJ is fluid,,ANTONYM OF be solid,nilu
freeze; solidify; deposit; SBJ {one who freezes; freezer} freezes OBJ {frozen; ice} {INSTRUMENT:freezer},,INCOHATIVE OF be solid,kutiki
melt; sublimate; SBJ {melter} melts OBJ {molten},,CESSATIVE OF be solid,niluki
be liquid; be water; OBJ {puddle} is a liquid {AMOUNT:liquidity},,cmn <水> [ʂweɪ̯˧˩˧],cwe
be gaseous; be air; OBJ {gas; cloud} is gaseous,,ANTONYM OF be liquid,hyo
condense; liquidify; SBJ {condenser} condenses OBJ {condensed; cloud} into a liquid,,INCOHATIVE OF be liquid,cweki
boil; evaporate; SBJ {boiler} boils OBJ,,CESSATIVE OF be liquid,hyoki
be flimsy; be soft; be flexible; be loose; OBJ bends easily,,POSSIBILITY OF bend,fulokipowi
be rigid; be solid; be hard; be brittle; be firm; OBJ does not bend,,NEGATIVE OF be flimsy,fulokipowinyo
flimsen; weaken; SBJ {one who increases flimsiness} makes OBJ more flimsy,,INCOHATIVE OF be flimsy,fulokipowiki
rigidify; brace; harden; SBJ {brace; hardener} makes OBJ more rigid,,CESSATIVE OF be flimsy,fulokipowinu
be viscous; be thick; OBJ {paste; gel; goop} is viscous {AMOUNT:viscosity},,pan <ਲੇਸਲਾ> [leslɑ],lesla
be inviscous; be thin; OBJ {lubricant; oil; liquid} is inviscous,,ANTONYM OF be viscous,tofta
thicken; increase viscosity; SBJ {thickener; viscosity increaser} makes OBJ more viscous,,INCOHATIVE OF be viscous,leslaki
thin; decrease viscosity; SBJ {thinner; viscosity reducer} makes OBJ less viscous,,CESSATIVE OF be viscous,toftaki
be foamy; be spongy; OBJ {foam; sponge} is foamy,,eng <foamy> [ˈfoʊ̯mi],fomi
be consistent; be solid; be smooth; be filled; OBJ is solid all the way through,,ANTONYM OF be foamy,sepu
foam; froth; rise; air; SBJ {foamer; frother} fills OBJ with small pockets,,INCOHATIVE OF be foamy,fomiki
compress; solidify; smooth; coalesce; SBJ {defoamer} removes the small pockets from OBJ,,CESSATIVE OF be foamy,sepuki
be burnt; be burned; OBJ {ash; char; charcoal} is burnt,,cmn <焦> [t͡ɕjɑʊ̯˥],cyau
burn; SBJ {burner} burns OBJ {fuel},,INCOHATIVE OF be burnt,cyauki
be on *fire; be flaming; OBJ {fire; flame} is on fire,,cmn <火> [xwɔ˧˩˧],hwo
ignite; light on fire; SBJ {fire starter} lights OBJ {ignited} on fire,,INCOHATIVE OF be on fire,hwoki
douse; put out; extinguish; quench; SBJ {fire extinguisher} puts out the fire on OBJ {doused},,CESSATIVE OF be on fire,hwonu
be flammable; OBJ can burn,,POSSIBILITY OF burn,cyaukipowi
be unflammable; be fire-resistant; be flame-retardant; OBJ does not burn easily,,NEGATIVE OF be flammable,cyaukipowinyo
flammibify; SBJ makes OBJ flammable,,INCOHATIVE OF be flammable,cyaukipowiki
deflammibify; SBJ makes OBJ less flammable,,CESSATIVE OF be flammable,cyaukipowinu
bounce; spring; SBJ {bouncer} bounces OBJ {spring} off of IND,,ben <বড়াই> [bɔɽai],polai
be elastic; be bouncy; be springy; OBJ bounces well {AMOUNT:elasticicity},,POSSIBILITY OF bounce,polaipowi
be inelastic; be unbouncy; be flat; be hard; OBJ does not bounce well,,NEGATIVE OF be elastic,polaipowinyo
elastify; bouncify; make elastic; SBJ makes OBJ elastic,,INCOHATIVE OF be elastic,polaipowiki
deelastify; make inelastic; SBJ makes OBJ less elastic,,CESSATIVE OF be elastic,polaipowinu
rub; *slide; slip; scrub; wipe; SBJ rubs OBJ {INSTRUMENT:wipe; scrubber},,msa <sapu> [sapu],sapu
be slippery; be smooth; OBJ is slippery on IND,,POSSIBILITY OF rub,sapupowi
grip; drag; be grippy; OBJ exerts a frictional force on IND {AMOUNT:coefficient of friction},,NEGATIVE OF be slippery,sapupowinyo
be made of; comprise; OBJ {construction; object; product} is made out of IND {*material; substance; chemical; element},,jav <saka> [ʂɔkɔ],caka
make out of; turn to; SBJ {alchemist} changes OBJ to be made out of IND,,INCOHATIVE OF be made of,cakaki
be wood; be wooden; OBJ is made out of wood,,cmn <木> [mu˥˩],mu
woodify; SBJ turns OBJ into wood,,INCOHATIVE OF be wood,muki
be stone; be rock; be earthen; OBJ is made out of earth,,fil <bato> [bato],pato
turn to stone; earthify; SBJ turns OBJ to stone,,INCOHATIVE OF be stone,patoki
be soil; be dirt; be earth; OBJ is made out of dirt,,ibo <anị> [anɪ],ani
disintigrate; decompose; turn to dirt; SBJ turns OBJ to dirt,,INCOHATIVE OF be soil,aniki
be metal; be metallic; OBJ is made out of metal,,hin <धातु> [d̤aːtu],tatu
metallicise; SBJ turns OBJ into metal,,INCOHATIVE OF be metal,tatuki
be crystal; OBJ {jewel; gem} is made out of crystal,,swa <kioo> [kioo],kio
crystalise; SBJ turns OBJ into crystal,,INCOHATIVE OF be crystal,kioki
be bone; OBJ {skeleton} is made out of bone,,epo <osto> [ˈosto],osto
bonify; SBJ turns OBJ into bone,,INCOHATIVE OF be bone,ostoki
be flesh; OBJ {meat} si made out of flesh,,OPPOSITE OF be bone,efle
meatify; SBJ turns OBJ into flesh,,INCOHATIVE OF be flesh,efleki
be charged; be electrified; OBJ {battery} has electric energy stored {AMOUNT:electric potential; voltage; *electricity},,yor <iná> [ĩ̄á],ina
charge; electrify; SBJ {charger} imbues OBJ with electric energy,,INCOHATIVE OF be charged,inaki
discharge; shock; electrify; power; SBJ releases the electric energy of OBJ onto IND {machine; electric circuit} {METHOD:conduit; wire; circuit; component},,CESSATIVE OF be charged,inanu
be capacitive; OBJ {capacitor} is a capacitor {AMOUNT:capacitance},,POSSIBILITY OF be charged,inapowi
be social; socialise; OBJ {extravert} socialises with IND {society; community} {AMOUNT:extraversion},,epo <socia> [soˈt͡sia],sosia
be introverted; be isolated; OBJ {introvert} is socially isolated from IND,,ANTONYM OF be social,fefua
integrate; SBJ socially integrates OBJ with IND,,INCOHATIVE OF be social,sosiaki
isolate; SBJ socially isolates OBJ from IND,,CESSATIVE OF be social,fefuaki
ride; transport; SBJ {passenger} rides on OBJ {vehicle},,spa <monta> [ˈmonta],monta
play; OBJ {player} is playing IND {game; sport},,spa <juega> [ˈxweɣa],huka
wait; OBJ {in wait} is waiting for IND,,sho <mira> [mira],mila
act; say; voice; fill; SBJ {actor} acts as though OBJ {act; role; charade; character; farce} is true,,spa <actúa> [akˈtua],aktua
differ; be *different; be distinct; OBJ is different from IND,,yor <yàtọ̀> [jàtɔ̀],yato
be similar; be the same; be like; be alike; OBJ is similar to IND,,ANTONYM OF differ,wale
diverge; make different; SBJ makes OBJ become different from IND,,INCOHATIVE OF differ,yatoki
converge; make similar; resolve; SBJ makes OBJ become smilar to IND,,CESSATIVE OF differ,waleki
model; replicate; image; SBJ {modeler} makes OBJ {model; image} after IND {source; original},,cmn <模拟> [mwɔ˧˥ni˧˩˧],mwoni
be hot; be warm; OBJ is hotter than IND {reference temperature; lukewarm} {AMOUNT:temperature},,ibo <ọkụ> [ɒkʊ],oku
be cold; be cool; OBJ is colder than IND,,ANTONYM OF be hot,eni
heat; warm; SBJ {heater} makes OBJ heat up relative to IND,,INCOHATIVE OF be hot,okuki
cool; SBJ {cooler; air conditioner} makes OBJ cool down relative to IND,,CESSATIVE OF be hot,eniki
